Nobia	SEK	3.596	-0.12	-3.22%	3.584	3.594	3,103,339	11,328,517	18:00:00
Nokia Oyj	SEK	61.00	-1.14	-1.83%	60.84	60.90	645,426	39,463,350	18:00:00
Nolato B	SEK	62.00	-0.50	-0.80%	62.00	62.10	102,735	6,387,075	18:00:00
Nordea Bank Abp	SEK	179.95	-0.65	-0.35%	179.35	179.45	2,064,533	371,187,594	18:00:00
Nordisk Bergteknik B	SEK	13.80	-0.15	-1.07%	13.80	13.90	28,160	388,293	18:00:00
Nordnet	SEK	276.80	+2.60	+0.94%	277.20	277.40	448,291	123,545,436	18:00:00
Norion Bank	SEK	68.50	+1.60	+2.39%	68.40	68.70	211,136	14,595,567	18:00:00
NOTE	SEK	170.50	-1.00	-0.58%	169.60	170.00	64,811	11,051,430	18:00:00
NOVOTEK B	SEK	86.20	+1.00	+1.17%	86.20	86.60	5,808	497,934	18:00:00
NP3 Fastigheter	SEK	268.50	-1.00	-0.37%	266.50	269.50	25,947	6,941,571	18:00:00
Nyfosa	SEK	73.10	-0.15	-0.20%	73.05	73.20	2,722,971	197,459,746	18:00:00
OEM International B	SEK	140.20	-0.60	-0.42%	139.60	140.20	32,783	4,567,233	18:00:00
Oncopeptides	SEK	3.45	-0.895	-20.59%	3.395	3.45	15,092,213	53,248,887	18:00:00
Orexo	SEK	31.05	-1.30	-4.01%	31.50	32.45	53,815	1,705,115	18:00:00
Orrön Energy	SEK	5.01	-0.015	-0.29%	4.982	5.035	445,620	2,220,864	18:00:00
Ovzon	SEK	52.50	-1.00	-1.86%	52.50	52.90	602,449	32,042,135	18:00:00
Pandox B	SEK	201.00	-1.00	-0.49%	201.00	202.00	89,495	17,995,739	18:00:00
Peab B	SEK	89.20	-0.10	-0.11%	89.30	89.40	278,103	24,859,840	18:00:00
Pierce Group	SEK	12.85	-0.20	-1.53%	12.85	12.95	215,509	2,788,312	18:00:00
PION Group B	SEK	5.28	0.00	0.00%	5.20	5.24	3,028	15,880	18:00:00
Platzer Fastigheter Holding B	SEK	74.70	-0.50	-0.66%	74.60	74.90	296,773	22,138,565	18:00:00
PowerCell Sweden	SEK	28.78	+0.70	+2.49%	28.72	28.84	288,871	8,091,441	18:00:00
Precise Biometrics	SEK	2.554	+0.304	+13.51%	2.506	2.552	315,883	755,779	18:00:00
Prevas B	SEK	96.60	-1.40	-1.42%	96.60	97.00	18,947	1,834,675	18:00:00
